area,beds,count,median,q25,q75,min,max
cheshunt,2,12,392500.0,368750.0,456250.0,299999,585000
cheshunt,3,38,470000.0,450000.0,500000.0,385000,725000
chingford,2,21,500000.0,450000.0,575000.0,375000,850000
chingford,3,91,599995.0,530000.0,650000.0,420000,950000
epping,2,14,475000.0,463750.0,500000.0,425000,575000
epping,3,42,655000.0,575000.0,699749.25,345000,1200000
isle_of_dogs,2,5,550000.0,525000.0,750000.0,500000,1100000
isle_of_dogs,3,19,700000.0,650000.0,750000.0,575000,925000
leytonstone,2,31,525000.0,475000.0,600000.0,325000,675000
leytonstone,3,63,650000.0,600000.0,707500.0,429500,1150000
loughton,2,24,500000.0,468750.0,556250.0,425000,720000
loughton,3,45,550000.0,475000.0,700000.0,350000,2500000
nunhead,2,9,550000.0,525000.0,600000.0,425000,820000
nunhead,3,28,760000.0,693712.5,906250.0,350000,2250000
putney,2,14,757500.0,670000.0,817500.0,600000,1100000
putney,3,30,875000.0,742500.0,1125000.0,425000,2150000
surrey_quays,2,1,725000.0,725000.0,725000.0,725000,725000
surrey_quays,3,14,775000.0,685000.0,881250.0,600000,1850000
theydon_bois,3,5,800000.0,750000.0,899995.0,650000,900000
walthamstow,2,30,600000.0,517500.0,650000.0,250000,750000
walthamstow,3,86,675000.0,600000.0,750000.0,380000,1150000
wanstead,2,9,675000.0,575000.0,775000.0,485000,1250000
wanstead,3,17,860000.0,775000.0,950000.0,625000,1150000
wimbledon,2,42,730000.0,627500.0,846250.0,380000,2500000
wimbledon,3,96,970000.0,850000.0,1150000.0,535000,3000000
woodford,2,12,550000.0,525000.0,587500.0,485000,895000
woodford,3,47,650000.0,592500.0,750000.0,400000,1200000
